,SigC800,SigBr730,EpsC800,EpsBr730,density,density_err
0,0.48282,0.70814,0.33847,1.38406,645.969,0.19
1,0.19359,0.32408,0.69643,2.36042,1347.68,1.2
2,0.42142,0.57167,0.17863,1.89469,1172.37,0.68
3,0.71096,0.46154,0.78542,2.85595,724.982,0.61
4,0.62550,0.51830,0.53016,2.74769,1124.94,0.55
5,0.35267,0.34047,0.38280,1.50582,1344.42,1.9
6,0.27934,0.65626,0.98285,2.21954,878.503,0.36
7,0.55245,0.20235,0.10432,1.02402,1293.87,0.14
8,0.58193,0.59861,0.89046,1.74819,1027.37,0.38
9,0.23631,0.43376,0.02336,2.50630,1345.43,29.4421
10,0.31293,0.73699,0.60812,1.22196,547.036,1.2
11,0.65887,0.29607,0.47984,2.02648,911.681,0.67
12,0.74219,0.61502,0.22369,2.38551,759.094,0.46
13,0.37546,0.24390,0.81128,1.36190,1347.95,1.4
14,0.15328,0.47783,0.30888,2.89813,1309.02,9.7
15,0.52028,0.38064,0.65530,1.85935,1307.22,0.91
16,0.49049,0.49292,0.05271,2.17345,1287.92,6.2
17,0.18252,0.39996,0.91981,1.07207,1329.37,1.5
18,0.40437,0.63007,0.44989,2.66891,990.297,0.42
19,0.71266,0.26318,0.57817,1.58264,646.225,1.5
20,0.65075,0.71768,0.84078,1.94286,626.212,0.32
21,0.32167,0.28098,0.25319,2.80974,1346.78,1.7
22,0.24472,0.57932,0.62544,1.46100,1144.65,0.52
23,0.57407,0.41870,0.27902,2.28152,1273.31,0.63
24,0.54152,0.67557,0.72626,2.94432,820.744,0.86
25,0.28965,0.21744,0.36830,1.81121,1335.7,0.97
26,0.36272,0.53759,0.75595,2.46444,1224.82,6.8
27,0.61490,0.35553,0.14915,1.28491,1209.79,0.39
28,0.68420,0.55658,0.41278,1.17394,845.479,0.66
29,0.44872,0.44221,0.56014,2.07256,1335.02,4.1
30,0.22064,0.69309,0.07494,1.67133,690.671,0.53
31,0.45640,0.30480,0.95346,2.58511,1346.5,0.9
32,0.46597,0.56427,0.60048,2.25364,1199.16,17.7934
33,0.21161,0.46809,0.48752,1.49602,1315.4,1.9
34,0.43856,0.70266,0.88279,2.78012,728.855,0.16
35,0.69265,0.33041,0.03100,1.97510,1195.65,0.51
36,0.60514,0.64941,0.28590,1.61657,835.898,0.48
37,0.37185,0.20950,0.67825,2.63969,1345.92,1.6
38,0.30000,0.51224,0.20073,1.10371,1283,0.61
39,0.53297,0.34624,0.83427,2.14297,1295.06,0.82
40,0.56392,0.74250,0.17099,2.61411,615.27,0.32
41,0.25316,0.28974,0.79309,1.63726,1341.31,1.1
42,0.33124,0.60602,0.33079,2.10323,1083.81,12
43,0.64172,0.42718,0.70407,1.14246,971.773,0.62
44,0.72301,0.48389,0.95987,1.25023,631.919,0.63
45,0.39582,0.37489,0.12727,2.49259,1349.33,1.3
46,0.17275,0.62183,0.50721,1.77863,968.597,0.72
47,0.49963,0.23677,0.40579,2.97366,1321.1,0.97
48,0.50997,0.64123,0.76359,1.05800,919.266,0.46
