,ratio,rndint,#trees,mape,r2
0,0.05,678.0,10.0,0.018541242308449897,0.9905175005279188
1,0.05,678.0,100.0,0.01742572364434562,0.9918803624101176
2,0.05,678.0,250.0,0.017181653383019444,0.9921968546013965
3,0.05,678.0,500.0,0.01730060958253469,0.9920460173057578
4,0.05,678.0,750.0,0.01732504384814649,0.9920969550751948
5,0.05,678.0,1000.0,0.017373734514972074,0.9920750190687894
6,0.05,147.0,10.0,0.01266691516293261,0.9953372185411288
7,0.05,147.0,100.0,0.012691526150158155,0.9955251220156254
8,0.05,147.0,250.0,0.012796318523362429,0.9953211004030016
9,0.05,147.0,500.0,0.013228389671907603,0.9949169699029679
10,0.05,147.0,750.0,0.013237159534605504,0.9949383852705079
11,0.05,147.0,1000.0,0.013260363305642911,0.9949310550635391
12,0.05,561.0,10.0,0.020974839488264667,0.9800591503778814
13,0.05,561.0,100.0,0.0171454203406285,0.9871080035312321
14,0.05,561.0,250.0,0.016882921694509705,0.9861514457146737
15,0.05,561.0,500.0,0.01698924145815248,0.9864300136896762
16,0.05,561.0,750.0,0.016987909817376592,0.9867678797970117
17,0.05,561.0,1000.0,0.01700778022639408,0.9867212878941678
18,0.05,237.0,10.0,0.01690364821969857,0.9930579742519715
19,0.05,237.0,100.0,0.01639117066807961,0.9941840343659367
20,0.05,237.0,250.0,0.016650980214661628,0.9941123555572821
21,0.05,237.0,500.0,0.016568979579518594,0.9942192115012815
22,0.05,237.0,750.0,0.016504577139899012,0.9942722135850359
23,0.05,237.0,1000.0,0.016500415808586195,0.9943240631990041
24,0.05,588.0,10.0,0.012880734265988599,0.9945911108957701
25,0.05,588.0,100.0,0.012460995998133767,0.9952141914820798
26,0.05,588.0,250.0,0.01227211492439052,0.9956019138345721
27,0.05,588.0,500.0,0.012466023270047215,0.9954478038791552
28,0.05,588.0,750.0,0.012376381911105162,0.9954746672289576
29,0.05,588.0,1000.0,0.012348429855084985,0.9954636724146457
30,0.05,951.0,10.0,0.013383550472409947,0.9940443291981708
31,0.05,951.0,100.0,0.012195057678482241,0.9942798632914948
32,0.05,951.0,250.0,0.012067613787993495,0.9942610670580633
33,0.05,951.0,500.0,0.012186479662144761,0.9943613449686475
34,0.05,951.0,750.0,0.012130459944294868,0.9943867355861564
35,0.05,951.0,1000.0,0.011966054641408238,0.9945520671659167
36,0.05,490.0,10.0,0.01511626649290619,0.9878128793972196
37,0.05,490.0,100.0,0.012525981412270685,0.9938555206936133
38,0.05,490.0,250.0,0.013106162961656,0.9936074442293017
39,0.05,490.0,500.0,0.01311748910031628,0.9936656380917791
40,0.05,490.0,750.0,0.013068148058926896,0.9937242857144207
41,0.05,490.0,1000.0,0.013120865442453299,0.9936741022672965
42,0.05,395.0,10.0,0.014905836016367005,0.9883639584162005
43,0.05,395.0,100.0,0.015963655469749653,0.9888199091484352
44,0.05,395.0,250.0,0.015898214757363003,0.9890554939225028
45,0.05,395.0,500.0,0.01576268660035453,0.9891748072715839
46,0.05,395.0,750.0,0.015783602280631234,0.9891894485479593
47,0.05,395.0,1000.0,0.01579857042738728,0.9892259605741361
48,0.05,877.0,10.0,0.015606203819392546,0.995659092742569
49,0.05,877.0,100.0,0.015780702606393804,0.9958665055157128
50,0.05,877.0,250.0,0.015560595434570914,0.9960272095526685
51,0.05,877.0,500.0,0.015392114118968063,0.9961116580216617
52,0.05,877.0,750.0,0.015374347414331361,0.9961066279732097
53,0.05,877.0,1000.0,0.015374317122750251,0.9961127303962269
54,0.05,297.0,10.0,0.01497027397484153,0.9950990245796162
55,0.05,297.0,100.0,0.01434251365888657,0.9954960456572672
56,0.05,297.0,250.0,0.01464357443526558,0.9954996530314552
57,0.05,297.0,500.0,0.014935357029030854,0.995373901750069
58,0.05,297.0,750.0,0.014908086178730032,0.9953896355221323
59,0.05,297.0,1000.0,0.014871769164962289,0.9953775050484351
60,0.05,721.0,10.0,0.016058354922259523,0.991950364522656
61,0.05,721.0,100.0,0.016601776282321287,0.990473526928059
62,0.05,721.0,250.0,0.01643033409259561,0.9906328978618023
63,0.05,721.0,500.0,0.016310496312659763,0.9907545453247214
64,0.05,721.0,750.0,0.016444045470081086,0.9905000901890201
65,0.05,721.0,1000.0,0.016374356134504164,0.9905228777907132
66,0.05,711.0,10.0,0.01746595554537143,0.9881053568281947
67,0.05,711.0,100.0,0.01606503337949077,0.9889434222877872
68,0.05,711.0,250.0,0.015834691486511177,0.9896024620101781
69,0.05,711.0,500.0,0.01592443299582163,0.989526928158164
70,0.05,711.0,750.0,0.015895524305780957,0.9894941604836005
71,0.05,711.0,1000.0,0.01578464550031902,0.9895864158242159
72,0.05,985.0,10.0,0.017029710324314173,0.9926506102487325
73,0.05,985.0,100.0,0.01624499190695716,0.993286828264169
74,0.05,985.0,250.0,0.01628703864529531,0.9933145099867524
75,0.05,985.0,500.0,0.01623186430697988,0.9933007465761715
76,0.05,985.0,750.0,0.01619617623478901,0.9933844912778871
77,0.05,985.0,1000.0,0.016247518436599193,0.9933917004059724
78,0.05,171.0,10.0,0.015290821989411516,0.9921587132231442
79,0.05,171.0,100.0,0.012768525968831436,0.9931827103319192
80,0.05,171.0,250.0,0.01249013606201195,0.9933175747165652
81,0.05,171.0,500.0,0.012612089994451302,0.993401199374389
82,0.05,171.0,750.0,0.01237983668580788,0.9937276787392325
83,0.05,171.0,1000.0,0.012333774553910003,0.9938962101629054
84,0.05,75.0,10.0,0.012063614478953292,0.9950088000621369
85,0.05,75.0,100.0,0.01127482354937761,0.9955415150659233
86,0.05,75.0,250.0,0.01107860805870983,0.9958333346032494
87,0.05,75.0,500.0,0.011076181387376682,0.9957840820774615
88,0.05,75.0,750.0,0.011047822142634089,0.9958158449245398
89,0.05,75.0,1000.0,0.011005044923035336,0.9958188290566871
90,0.05,16.0,10.0,0.015222254439497897,0.9921623662498864
91,0.05,16.0,100.0,0.014927679300068178,0.993038175390246
92,0.05,16.0,250.0,0.015496144696511189,0.9928397517912986
