,SigC800,SigBr730,EpsC800,EpsBr730,density,density_err
0,0.36455,0.54291,0.53755,2.71405,1339.43,0.65
1,0.69531,0.32904,0.22695,1.13614,936.909,1.8
2,0.58142,0.64198,0.92612,2.49843,969.768,0.95
3,0.17625,0.43676,0.37061,1.92015,1384.22,1.2
4,0.26432,0.72262,0.12378,1.60877,610.754,1.9
5,0.45915,0.37357,0.67173,2.06174,1399.42,0.53
6,0.64541,0.54673,0.48145,1.32246,1063.93,0.6
7,0.37617,0.20626,0.78431,2.77580,1387.61,0.79
8,0.43196,0.67357,0.39592,2.13917,856.433,0.79
9,0.62679,0.47479,0.82797,1.71763,1160.01,1.1
10,0.51523,0.50573,0.01887,2.91780,1396.63,1.7
11,0.24600,0.29834,0.69601,1.49565,1371.59,1.4
12,0.19454,0.57966,0.93151,1.05744,1206.87,12.1323
13,0.52530,0.24133,0.26211,2.60404,1361.22,0.49
14,0.71389,0.68679,0.58481,1.78077,652.387,0.99
15,0.30872,0.33991,0.16032,2.32798,1378.88,0.78
16,0.32992,0.70238,0.84799,1.29149,678.734,2.1
17,0.74975,0.35978,0.42159,2.86928,580.996,3.2
18,0.56101,0.60383,0.73149,1.51483,1160.9,1.1
19,0.21676,0.25262,0.06018,2.09323,1372.87,1.1
20,0.24266,0.48588,0.31076,2.40447,1396.12,1.1
21,0.49843,0.28275,0.98982,1.95161,1388.35,0.38
22,0.60954,0.66229,0.16336,2.68310,866.043,0.5
23,0.42936,0.45062,0.59733,1.22964,1379.92,0.85
24,0.41019,0.56553,0.22401,1.87481,1253.46,0.62
25,0.66595,0.22075,0.52495,2.29647,938.22,1.7
26,0.47955,0.73282,0.32189,1.08850,576.153,9.03608
27,0.29937,0.39668,0.86792,2.51052,1396.54,0.69
28,0.16010,0.62748,0.63614,2.94884,1033.51,1.6
29,0.57992,0.41796,0.08255,1.40212,1341.74,0.79
30,0.69337,0.51980,0.76437,2.23321,858.879,1.3
31,0.34913,0.31885,0.45568,1.68612,1377.95,12.3942
32,0.34028,0.63392,0.02913,1.21691,975.319,11.4683
33,0.67983,0.42870,0.70523,2.63894,903.886,1.7
34,0.56887,0.53485,0.38659,1.99542,1288.85,1.2
35,0.15373,0.32099,0.81778,2.41708,1379.48,0.51
36,0.28684,0.55478,0.56329,2.10381,1287.98,0.33
37,0.47171,0.21431,0.13985,1.55672,1368.69,0.96
38,0.66089,0.73068,0.95208,2.82726,660.546,0.34
39,0.40044,0.38163,0.28355,1.28054,1374.17,0.88
40,0.41931,0.49660,0.90578,1.63640,1386.86,0.75
41,0.60418,0.28921,0.34922,2.21480,1240.19,1.7
42,0.49087,0.66444,0.55887,1.42090,848.042,1.3
43,0.23043,0.46566,0.24740,2.99868,1416.97,0.41
44,0.21011,0.69592,0.49055,2.56249,767.05,0.69
45,0.54966,0.34905,0.79445,1.10903,1325.07,10.5939
46,0.73650,0.58879,0.11371,2.27606,945.351,1.1
47,0.32137,0.25046,0.66252,1.82321,1376.85,0.89
48,0.31496,0.61189,0.34627,2.79621,1108.09,0.61
