,ratio,rndint,degree,mape,r2
0,0.05,678.0,1.0,0.14464293410504597,0.5776294704930596
1,0.05,678.0,2.0,0.07579840810667555,0.8944923808025752
2,0.05,678.0,3.0,0.04271774522463546,0.9644589135680662
3,0.05,678.0,4.0,0.02363810618033487,0.9885581453923782
4,0.05,678.0,5.0,0.015956647349183967,0.9938497251491044
5,0.05,678.0,6.0,0.014653895925509567,0.9945792712943541
6,0.05,678.0,7.0,0.013728238228510273,0.9949707757821769
7,0.05,678.0,8.0,0.013871067956566778,0.9945350205467335
8,0.05,678.0,9.0,0.024014551584181636,0.9727528893921908
9,0.05,678.0,10.0,0.04740187426847939,0.8652069787978537
10,0.05,147.0,1.0,0.1413073987981469,0.6339871037022649
11,0.05,147.0,2.0,0.05907708574194616,0.933136370237219
12,0.05,147.0,3.0,0.031233395448070855,0.9832448442772108
13,0.05,147.0,4.0,0.022005971257478607,0.9910224487225225
14,0.05,147.0,5.0,0.014194653669068991,0.9956249139890773
15,0.05,147.0,6.0,0.012921560430540052,0.9958531353289589
16,0.05,147.0,7.0,0.011401994032842259,0.9965786858752538
17,0.05,147.0,8.0,0.012774957580152178,0.9950750144947725
18,0.05,147.0,9.0,0.019760929610143613,0.9838555186205746
19,0.05,147.0,10.0,0.04120491543422223,0.7735255052783305
20,0.05,561.0,1.0,0.16588565995722476,0.526112588414775
21,0.05,561.0,2.0,0.07221671760958275,0.8949645354526644
22,0.05,561.0,3.0,0.03769484257779072,0.9574611771384265
23,0.05,561.0,4.0,0.027274071459224218,0.9752866060675277
24,0.05,561.0,5.0,0.01724094752714889,0.9883818426035187
25,0.05,561.0,6.0,0.012560007799994069,0.9940981779936766
26,0.05,561.0,7.0,0.012139052016595103,0.994584884331426
27,0.05,561.0,8.0,0.012620915316712106,0.9959250169689092
28,0.05,561.0,9.0,0.015323736020360067,0.9918907153245073
29,0.05,561.0,10.0,0.017852252120367076,0.9825085884739989
30,0.05,237.0,1.0,0.16018662117082494,0.5537840898318036
31,0.05,237.0,2.0,0.07218573305521252,0.9153986832107139
32,0.05,237.0,3.0,0.035242436531206595,0.9788511730587629
33,0.05,237.0,4.0,0.023919308866766947,0.9900551014681072
34,0.05,237.0,5.0,0.01468954667025888,0.9957734737461501
35,0.05,237.0,6.0,0.012734447920929842,0.9964928805262458
36,0.05,237.0,7.0,0.012924201027929351,0.9964454582994362
37,0.05,237.0,8.0,0.016026049008458967,0.989579783701255
38,0.05,237.0,9.0,0.024389953436798707,0.9386478802761058
39,0.05,237.0,10.0,0.04048740397279548,0.7490522417944753
40,0.05,588.0,1.0,0.17443690194308434,0.503540391621691
41,0.05,588.0,2.0,0.06993284385608879,0.9159562763568287
42,0.05,588.0,3.0,0.07326593779285911,0.8823406148706375
43,0.05,588.0,4.0,0.024535313925584563,0.9867748946539087
44,0.05,588.0,5.0,0.015457622947500756,0.9939131208275663
45,0.05,588.0,6.0,0.011631421233778977,0.9954585813749318
46,0.05,588.0,7.0,0.01145412260244119,0.9962184268734348
47,0.05,588.0,8.0,0.013737583768181112,0.9946792167066092
48,0.05,588.0,9.0,0.014100791205272092,0.993641501729694
49,0.05,588.0,10.0,0.01948628074600845,0.986961250234469
50,0.05,951.0,1.0,0.12641426573747536,0.650251419205397
51,0.05,951.0,2.0,0.06111279607439251,0.9233509668735119
52,0.05,951.0,3.0,0.027480616061541056,0.9821476314790102
53,0.05,951.0,4.0,0.019952548882504306,0.9897889661714204
54,0.05,951.0,5.0,0.013370504163152691,0.9949207573708655
55,0.05,951.0,6.0,0.010888247926904276,0.9967548562851245
56,0.05,951.0,7.0,0.00922281780423621,0.9974438860042864
57,0.05,951.0,8.0,0.009368290060990343,0.9976199284489463
58,0.05,951.0,9.0,0.010255099128520238,0.9967086474820583
59,0.05,951.0,10.0,0.01689184279298057,0.989150048194156
60,0.05,490.0,1.0,0.13982846366328971,0.6075805992246582
61,0.05,490.0,2.0,0.06760185449674407,0.9027758966554336
62,0.05,490.0,3.0,0.03432621708091726,0.958332154435033
63,0.05,490.0,4.0,0.023382518862232568,0.9796758115620378
64,0.05,490.0,5.0,0.014952387661800867,0.9907347634446735
65,0.05,490.0,6.0,0.01096518013542364,0.9956651914637885
66,0.05,490.0,7.0,0.010506268404781286,0.9960581711476196
67,0.05,490.0,8.0,0.01035094066354733,0.9964672332245078
68,0.05,490.0,9.0,0.011652976476541904,0.9924424312059495
69,0.05,490.0,10.0,0.020619940529432328,0.9735920241149014
70,0.05,395.0,1.0,0.1310909747535269,0.6236699182659342
71,0.05,395.0,2.0,0.05531215568972059,0.9292055486681969
72,0.05,395.0,3.0,0.027710095131873815,0.9817710004793893
73,0.05,395.0,4.0,0.02066554042652038,0.9896948548594341
74,0.05,395.0,5.0,0.015698478600957046,0.9941136595804348
75,0.05,395.0,6.0,0.011357445298438448,0.9963496356308985
76,0.05,395.0,7.0,0.010377638617934563,0.9970062459253513
77,0.05,395.0,8.0,0.010889766311967836,0.9961686745650395
78,0.05,395.0,9.0,0.012197074620079523,0.9953156844760516
79,0.05,395.0,10.0,0.023770337893095222,0.978084287691974
80,0.05,877.0,1.0,0.16274776180182768,0.6774206588012956
81,0.05,877.0,2.0,0.07023995328888274,0.938081647138184
82,0.05,877.0,3.0,0.053231052147090695,0.9645719978075242
83,0.05,877.0,4.0,0.03250076984293513,0.9860964940946448
84,0.05,877.0,5.0,0.021273760715098722,0.9936243261106027
85,0.05,877.0,6.0,0.019787804812972574,0.9949029085149591
86,0.05,877.0,7.0,0.0174645704924134,0.9948694173078095
87,0.05,877.0,8.0,0.015412200691265776,0.9952807928679395
88,0.05,877.0,9.0,0.016274637207139536,0.9941313945096197
89,0.05,877.0,10.0,0.024936185015571124,0.9734258024988646
90,0.05,297.0,1.0,0.15401406132265588,0.5999790737656421
91,0.05,297.0,2.0,0.06501449965975206,0.9304362458241515
92,0.05,297.0,3.0,0.03814615155531464,0.9760631561219448
93,0.05,297.0,4.0,0.023779956725517165,0.9895670513671027
94,0.05,297.0,5.0,0.019684462451651147,0.9935110778301343
95,0.05,297.0,6.0,0.01782453906183465,0.9938122872729243
96,0.05,297.0,7.0,0.014619100946121203,0.9951380349542275
97,0.05,297.0,8.0,0.015252218414858658,0.9931176983598097
98,0.05,297.0,9.0,0.022983816999714315,0.9573627569268127
99,0.05,297.0,10.0,0.05290338372443716,0.5843662862571243
100,0.05,721.0,1.0,0.14780580619046138,0.5924705490915755
101,0.05,721.0,2.0,0.07310844501423643,0.9002708082589257
102,0.05,721.0,3.0,0.031159792098399135,0.9829014897125619
103,0.05,721.0,4.0,0.02197803132812453,0.9907916488302458
104,0.05,721.0,5.0,0.016128931297098185,0.9940791393105096
105,0.05,721.0,6.0,0.010785610002012575,0.9973133260976788
106,0.05,721.0,7.0,0.009472284491291809,0.997801120222539
107,0.05,721.0,8.0,0.008916787882246572,0.9978612383268889
108,0.05,721.0,9.0,0.010362241764420296,0.996889573591903
109,0.05,721.0,10.0,0.017417099090007677,0.9896806860093327
