,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
0,0.05,678.0,RBF,1.0,-,-,-,0.034171877055518,0.9386866864355856
1,0.05,678.0,Matern,1.0,1.5,-,-,0.0215679132098677,0.9837484932668308
2,0.05,678.0,RQ,1.0,-,1.0,-,0.024974663975907,0.982992514225668
3,0.05,678.0,ESS,1.0,-,-,1.0,0.9907676874986852,-16.200748888969972
4,0.05,147.0,RBF,1.0,-,-,-,0.0275771309637112,0.9794264890307892
5,0.05,147.0,Matern,1.0,1.5,-,-,0.0169829277085428,0.9933055433481875
6,0.05,147.0,RQ,1.0,-,1.0,-,0.0268103589376169,0.9841411016582852
7,0.05,147.0,ESS,1.0,-,-,1.0,0.0275770890954582,0.979426571126556
8,0.05,561.0,RBF,1.0,-,-,-,0.0297684465536364,0.951641403449909
9,0.05,561.0,Matern,1.0,1.5,-,-,0.0202852773029593,0.9769233176051016
10,0.05,561.0,RQ,1.0,-,1.0,-,0.0268747896848236,0.974657843881782
11,0.05,561.0,ESS,1.0,-,-,1.0,0.999309337451317,-15.882103603439989
12,0.05,237.0,RBF,1.0,-,-,-,0.0335428172969982,0.9685615421850144
13,0.05,237.0,Matern,1.0,1.5,-,-,0.0205202181623156,0.9907194336254292
14,0.05,237.0,RQ,1.0,-,1.0,-,0.0300941257070797,0.9815734464917624
15,0.05,237.0,ESS,1.0,-,-,1.0,1.0,-14.678928584219612
16,0.05,588.0,RBF,1.0,-,-,-,0.0321640466816191,0.973788399468482
17,0.05,588.0,Matern,1.0,1.5,-,-,0.0170218156242397,0.990949616652543
18,0.05,588.0,RQ,1.0,-,1.0,-,0.0268171611285811,0.982451796352378
19,0.05,588.0,ESS,1.0,-,-,1.0,0.0713397785686977,0.8216244224913026
20,0.05,951.0,RBF,1.0,-,-,-,0.0254915765778285,0.983064803877482
21,0.05,951.0,Matern,1.0,1.5,-,-,0.0163325245669111,0.9923312381146224
22,0.05,951.0,RQ,1.0,-,1.0,-,0.02301273558112,0.9850625565398088
23,0.05,951.0,ESS,1.0,-,-,1.0,0.0254915538602373,0.9830648337507316
24,0.05,490.0,RBF,1.0,-,-,-,0.0303648067144157,0.9581747764458284
25,0.05,490.0,Matern,1.0,1.5,-,-,0.0170916944546459,0.9847649461887688
26,0.05,490.0,RQ,1.0,-,1.0,-,0.0226233233285376,0.9801221298406048
27,0.05,490.0,ESS,1.0,-,-,1.0,0.9996962517779068,-18.747532401408723
28,0.05,395.0,RBF,1.0,-,-,-,0.0278930234886729,0.9656099119406184
29,0.05,395.0,Matern,1.0,1.5,-,-,0.0162275261791218,0.9901635503029366
30,0.05,395.0,RQ,1.0,-,1.0,-,0.021889685893229,0.9845740516698056
31,0.05,395.0,ESS,1.0,-,-,1.0,0.0278930205453543,0.965609919042112
32,0.05,877.0,RBF,1.0,-,-,-,0.0289391960016996,0.9853388591852288
33,0.05,877.0,Matern,1.0,1.5,-,-,0.0181709836117319,0.994267196825852
34,0.05,877.0,RQ,1.0,-,1.0,-,0.0248430260391819,0.9903654154265384
35,0.05,877.0,ESS,1.0,-,-,1.0,0.0269512668365646,0.9872562676425576
36,0.05,297.0,RBF,1.0,-,-,-,0.0276623475435193,0.980473188736604
37,0.05,297.0,Matern,1.0,1.5,-,-,0.0165375277473566,0.9938432459164438
38,0.05,297.0,RQ,1.0,-,1.0,-,0.025812891161355,0.985606985003375
39,0.05,297.0,ESS,1.0,-,-,1.0,0.9828605177401292,-14.006387523312045
40,0.05,721.0,RBF,1.0,-,-,-,0.0264870312682436,0.9795023120310647
41,0.05,721.0,Matern,1.0,1.5,-,-,0.0161696279955606,0.9928850032270754
42,0.05,721.0,RQ,1.0,-,1.0,-,0.0240660045554856,0.9862944941800766
43,0.05,721.0,ESS,1.0,-,-,1.0,1.0,-16.552371529253147
44,0.05,711.0,RBF,1.0,-,-,-,0.0333142948698026,0.947600118350512
45,0.05,711.0,Matern,1.0,1.5,-,-,0.0170904572863101,0.9820376011983576
46,0.05,711.0,RQ,1.0,-,1.0,-,0.0196149088840782,0.9813986886374144
47,0.05,711.0,ESS,1.0,-,-,1.0,1.0,-18.996881182991523
48,0.05,985.0,RBF,1.0,-,-,-,0.9999999999999992,-16.778524233328586
49,0.05,985.0,Matern,1.0,1.5,-,-,0.0172722580179399,0.9875758529204212
50,0.05,985.0,RQ,1.0,-,1.0,-,0.0247919823757112,0.9831390146428984
51,0.05,985.0,ESS,1.0,-,-,1.0,0.0298596441673354,0.9414755898142037
52,0.05,171.0,RBF,1.0,-,-,-,1.0,-18.746637179897032
53,0.05,171.0,Matern,1.0,1.5,-,-,0.019100604017955,0.9788601518703668
54,0.05,171.0,RQ,1.0,-,1.0,-,0.0219558372827153,0.9774497138562916
55,0.05,171.0,ESS,1.0,-,-,1.0,0.030595140624736,0.9413579925333598
56,0.05,75.0,RBF,1.0,-,-,-,0.0311951217325536,0.9449497760544135
57,0.05,75.0,Matern,1.0,1.5,-,-,0.0179045729540385,0.987091900605611
58,0.05,75.0,RQ,1.0,-,1.0,-,0.0254971144829772,0.9818867563433238
59,0.05,75.0,ESS,1.0,-,-,1.0,1.0,-17.527870493561007
60,0.05,16.0,RBF,1.0,-,-,-,0.0291990580623073,0.961804659820409
61,0.05,16.0,Matern,1.0,1.5,-,-,0.0168191700833092,0.9897502058646668
62,0.05,16.0,RQ,1.0,-,1.0,-,0.0211616729081465,0.9866176918663304
63,0.05,16.0,ESS,1.0,-,-,1.0,0.0353203881636831,0.9645882395887307
64,0.05,669.0,RBF,1.0,-,-,-,0.0280580506770207,0.9776376840346616
65,0.05,669.0,Matern,1.0,1.5,-,-,0.0164322386320816,0.9927876270138524
