,ratio,rndint,mape,r2
0,0.05,930.0,0.0138810944878439,0.9945329448783436
1,0.1,111.0,0.0145825594242213,0.9922265431315868
2,0.05,222.0,0.0149103203908842,0.992437913309456
3,0.05,249.0,0.0152210423664478,0.9946368507540432
4,0.1,930.0,0.0153063690249797,0.9906101432637054
5,0.1,928.0,0.0155112661819606,0.9920803037974484
6,0.05,936.0,0.0156911971458186,0.99363608848124
7,0.05,721.0,0.0161696279955606,0.9928850032270754
8,0.05,395.0,0.0162275261791218,0.9901635503029366
9,0.15,111.0,0.0162389635102332,0.9891390937252724
10,0.05,816.0,0.0162996171561964,0.9908554873932544
11,0.05,111.0,0.0163100592071374,0.9916641587587705
12,0.05,951.0,0.0163325245669111,0.9923312381146224
13,0.05,48.0,0.0163802037555356,0.9909511190586506
14,0.05,669.0,0.0164322386320816,0.9927876270138524
15,0.1,816.0,0.0165002640440915,0.9908850880599572
16,0.05,986.0,0.0165118036430885,0.9932337663642932
17,0.05,297.0,0.0165375277473566,0.9938432459164438
18,0.05,731.0,0.0166297712556346,0.9883633044083376
19,0.05,78.0,0.0166468766627074,0.9841752995724
20,0.05,249.0,0.0152210423664478,0.9946368507540432
21,0.05,930.0,0.0138810944878439,0.9945329448783436
22,0.05,877.0,0.0181709836117319,0.994267196825852
23,0.05,297.0,0.0165375277473566,0.9938432459164438
24,0.05,936.0,0.0156911971458186,0.99363608848124
25,0.05,582.0,0.0170567119538949,0.9936163656171916
26,0.05,554.0,0.0169622658849923,0.9933105163516042
27,0.05,147.0,0.0169829277085428,0.9933055433481875
28,0.1,877.0,0.018812839302326,0.993282548715264
29,0.05,986.0,0.0165118036430885,0.9932337663642932
30,0.1,297.0,0.0173018329551059,0.9930386434332744
31,0.05,721.0,0.0161696279955606,0.9928850032270754
32,0.05,669.0,0.0164322386320816,0.9927876270138524
33,0.1,936.0,0.0171179906423576,0.992707353802778
34,0.05,530.0,0.0171717465366107,0.9925539059999476
35,0.05,222.0,0.0149103203908842,0.992437913309456
36,0.05,951.0,0.0163325245669111,0.9923312381146224
37,0.1,111.0,0.0145825594242213,0.9922265431315868
38,0.1,928.0,0.0155112661819606,0.9920803037974484
39,0.1,951.0,0.0176291447772517,0.992075924219832
