,ratio,rndint,kernel,length_scale,nu,alpha,periodicity,mape,r2
0,0.05,678.0,RBF,1.0,-,-,-,0.0278151778276368,0.9787145707510458
1,0.05,678.0,Matern,1.0,1.5,-,-,0.0172440341945298,0.9925963433140602
2,0.05,678.0,RQ,1.0,-,1.0,-,0.0220064441958137,0.9892537307445184
3,0.05,678.0,ESS,1.0,-,-,1.0,0.9823278053090182,-15.638815127274269
4,0.05,147.0,RBF,1.0,-,-,-,0.0245035148695009,0.9828262137849516
5,0.05,147.0,Matern,1.0,1.5,-,-,0.0162952628548467,0.993640050723858
6,0.05,147.0,RQ,1.0,-,1.0,-,0.0262541532378864,0.985637438855688
7,0.05,147.0,ESS,1.0,-,-,1.0,0.0245034719378428,0.9828262788971656
8,0.05,561.0,RBF,1.0,-,-,-,0.0308925256335943,0.9717120604001656
9,0.05,561.0,Matern,1.0,1.5,-,-,0.0182282639099666,0.9875337392323336
10,0.05,561.0,RQ,1.0,-,1.0,-,0.0222890015901381,0.9871784255429308
11,0.05,561.0,ESS,1.0,-,-,1.0,0.991859438121387,-14.29119869850034
12,0.05,237.0,RBF,1.0,-,-,-,0.0290431793735901,0.96402217029687
13,0.05,237.0,Matern,1.0,1.5,-,-,0.0189190006914916,0.9868133248696166
14,0.05,237.0,RQ,1.0,-,1.0,-,0.0249237058574682,0.9818468965819596
15,0.05,237.0,ESS,1.0,-,-,1.0,1.0,-18.56324469153753
16,0.05,588.0,RBF,1.0,-,-,-,0.0288117157695143,0.981740399754693
17,0.05,588.0,Matern,1.0,1.5,-,-,0.0158299191168396,0.994058631841366
18,0.05,588.0,RQ,1.0,-,1.0,-,0.0207938109979221,0.9910485094805628
19,0.05,588.0,ESS,1.0,-,-,1.0,0.0613258751748174,0.8710274523821112
20,0.05,951.0,RBF,1.0,-,-,-,0.0197145801083252,0.9907630267243456
21,0.05,951.0,Matern,1.0,1.5,-,-,0.0149236625658938,0.9941537006866232
22,0.05,951.0,RQ,1.0,-,1.0,-,0.0235919975966993,0.986085435484045
23,0.05,951.0,ESS,1.0,-,-,1.0,0.0197145499939725,0.9907630625250132
24,0.05,490.0,RBF,1.0,-,-,-,0.0252240730045983,0.9757137966408178
25,0.05,490.0,Matern,1.0,1.5,-,-,0.0194119834647016,0.9872617051135046
26,0.05,490.0,RQ,1.0,-,1.0,-,0.0260159244157866,0.9790089516858488
27,0.05,490.0,ESS,1.0,-,-,1.0,0.9818924327363834,-18.246520916263258
28,0.05,395.0,RBF,1.0,-,-,-,0.0228337879993645,0.9776555421228776
29,0.05,395.0,Matern,1.0,1.5,-,-,0.015133040437986,0.9901022245756272
30,0.05,395.0,RQ,1.0,-,1.0,-,0.021231144002257,0.9854320470641968
31,0.05,395.0,ESS,1.0,-,-,1.0,0.0228337734052069,0.9776555684154236
32,0.05,877.0,RBF,1.0,-,-,-,0.0233171230002543,0.9852942522182666
33,0.05,877.0,Matern,1.0,1.5,-,-,0.0170119317587009,0.991936415777954
34,0.05,877.0,RQ,1.0,-,1.0,-,0.0234910813484822,0.985785176848167
35,0.05,877.0,ESS,1.0,-,-,1.0,0.0230072233725343,0.9860441128824884
36,0.05,297.0,RBF,1.0,-,-,-,0.0333653879222413,0.9655699371316676
37,0.05,297.0,Matern,1.0,1.5,-,-,0.0205951850402033,0.9862094251517568
38,0.05,297.0,RQ,1.0,-,1.0,-,0.025751174625833,0.9813584137052036
39,0.05,297.0,ESS,1.0,-,-,1.0,0.9840722349874405,-17.052319299946276
40,0.05,721.0,RBF,1.0,-,-,-,0.0308538221445423,0.9779856433123322
41,0.05,721.0,Matern,1.0,1.5,-,-,0.0220440879550619,0.9883376788552596
42,0.05,721.0,RQ,1.0,-,1.0,-,0.0346970079652158,0.9773770069797698
43,0.05,721.0,ESS,1.0,-,-,1.0,1.0,-13.749538551276633
44,0.05,711.0,RBF,1.0,-,-,-,0.0293149630382231,0.972632950163039
45,0.05,711.0,Matern,1.0,1.5,-,-,0.0197530173270133,0.9867450018212558
46,0.05,711.0,RQ,1.0,-,1.0,-,0.0256412975386091,0.977310371066052
47,0.05,711.0,ESS,1.0,-,-,1.0,0.98498519918167,-18.5507511569148
48,0.05,985.0,RBF,1.0,-,-,-,0.0210752703608781,0.9871811655001448
49,0.05,985.0,Matern,1.0,1.5,-,-,0.0193989073058882,0.9904158205543306
50,0.05,985.0,RQ,1.0,-,1.0,-,0.0201674047639732,0.9885861045505208
51,0.05,985.0,ESS,1.0,-,-,1.0,0.0210750734370724,0.9871814530258964
52,0.05,171.0,RBF,1.0,-,-,-,1.0,-13.193581207452382
53,0.05,171.0,Matern,1.0,1.5,-,-,0.0188313942894332,0.9914562799413076
54,0.05,171.0,RQ,1.0,-,1.0,-,0.0296853287704098,0.982363945867978
55,0.05,171.0,ESS,1.0,-,-,1.0,0.0247858300744824,0.9820514018798868
56,0.05,75.0,RBF,1.0,-,-,-,0.0249502541598976,0.97106221515197
57,0.05,75.0,Matern,1.0,1.5,-,-,0.0200384798833481,0.9874541637205878
58,0.05,75.0,RQ,1.0,-,1.0,-,0.0230867769247122,0.9850145360229566
59,0.05,75.0,ESS,1.0,-,-,1.0,1.0,-17.916103346515612
60,0.05,16.0,RBF,1.0,-,-,-,0.024759354504735,0.9855035656576396
61,0.05,16.0,Matern,1.0,1.5,-,-,0.0166694299618476,0.9940002842788316
62,0.05,16.0,RQ,1.0,-,1.0,-,0.0308844559656783,0.9841325419461122
63,0.05,16.0,ESS,1.0,-,-,1.0,0.0407201104289353,0.9640083892317656
64,0.05,669.0,RBF,1.0,-,-,-,0.029412328676054,0.9732168568192644
65,0.05,669.0,Matern,1.0,1.5,-,-,0.0215890887279283,0.985529063020208
66,0.05,669.0,RQ,1.0,-,1.0,-,0.0340366567321285,0.9720049975927508
67,0.05,669.0,ESS,1.0,-,-,1.0,0.0281775541630233,0.9773379806865048
68,0.05,530.0,RBF,1.0,-,-,-,0.0198318091021821,0.9834496385601108
69,0.05,530.0,Matern,1.0,1.5,-,-,0.0151258585820861,0.9916944442279388
70,0.05,530.0,RQ,1.0,-,1.0,-,0.02183058891413,0.9868991624031064
71,0.05,530.0,ESS,1.0,-,-,1.0,0.0167056194708153,0.989953174153536
72,0.05,999.0,RBF,1.0,-,-,-,0.0320963711855194,0.9765411044995428
73,0.05,999.0,Matern,1.0,1.5,-,-,0.0205116706502542,0.990014973252254
74,0.05,999.0,RQ,1.0,-,1.0,-,0.0283267077766292,0.983454306942706
75,0.05,999.0,ESS,1.0,-,-,1.0,0.0303920521684778,0.9798724608109172
76,0.05,794.0,RBF,1.0,-,-,-,1.0,-16.7793185636818
77,0.05,794.0,Matern,1.0,1.5,-,-,0.017159892704092,0.9910948782773422
78,0.05,794.0,RQ,1.0,-,1.0,-,0.0256760502977704,0.9852952595638677
79,0.05,794.0,ESS,1.0,-,-,1.0,1.0,-16.7793185636818
80,0.05,936.0,RBF,1.0,-,-,-,0.0222412798430676,0.9879854728003822
81,0.05,936.0,Matern,1.0,1.5,-,-,0.0174788479767189,0.9921021909150356
82,0.05,936.0,RQ,1.0,-,1.0,-,0.0238811833261753,0.985513936418793
83,0.05,936.0,ESS,1.0,-,-,1.0,0.0218438494730254,0.9883140098421688
84,0.05,111.0,RBF,1.0,-,-,-,0.0230871253804068,0.9833645876614644
85,0.05,111.0,Matern,1.0,1.5,-,-,0.0185820928643684,0.9894462190136212
86,0.05,111.0,RQ,1.0,-,1.0,-,0.0264832748679657,0.981868818144046
87,0.05,111.0,ESS,1.0,-,-,1.0,0.985437640743017,-19.952283086824103
88,0.05,816.0,RBF,1.0,-,-,-,0.0207025332910328,0.9814062202107418
89,0.05,816.0,Matern,1.0,1.5,-,-,0.0175357895560765,0.990071582629484
90,0.05,816.0,RQ,1.0,-,1.0,-,0.0281333247346507,0.9810836142886808
91,0.05,816.0,ESS,1.0,-,-,1.0,0.983432362396338,-16.01808056845663
92,0.05,968.0,RBF,1.0,-,-,-,0.0222281785415171,0.9789903409033336
93,0.05,968.0,Matern,1.0,1.5,-,-,0.0155073817585831,0.9890800487935598
94,0.05,968.0,RQ,1.0,-,1.0,-,0.022956237913427,0.9800322493116194
95,0.05,968.0,ESS,1.0,-,-,1.0,0.0222281775723174,0.9789903431512064
96,0.05,48.0,RBF,1.0,-,-,-,0.0278505466203858,0.9819853616962656
97,0.05,48.0,Matern,1.0,1.5,-,-,0.0183347165421924,0.9910293568749916
98,0.05,48.0,RQ,1.0,-,1.0,-,0.0231235848081124,0.98753075607745
99,0.05,48.0,ESS,1.0,-,-,1.0,0.0278505464047028,0.9819853620004224
100,0.05,986.0,RBF,1.0,-,-,-,1.0,-17.585457309630296
101,0.05,986.0,Matern,1.0,1.5,-,-,0.0166051629543696,0.9936444931402596
102,0.05,986.0,RQ,1.0,-,1.0,-,0.0272900432340998,0.9814620381258712
103,0.05,986.0,ESS,1.0,-,-,1.0,0.0202867638332023,0.9903857466779484
104,0.05,829.0,RBF,1.0,-,-,-,0.02773031857206,0.983988262104635
105,0.05,829.0,Matern,1.0,1.5,-,-,0.0181704833604118,0.992807024456958
106,0.05,829.0,RQ,1.0,-,1.0,-,0.0236382215951337,0.9885446100967074
107,0.05,829.0,ESS,1.0,-,-,1.0,0.027730289330785,0.9839882962154743
108,0.05,996.0,RBF,1.0,-,-,-,0.0237204167071998,0.9725553789372864
109,0.05,996.0,Matern,1.0,1.5,-,-,0.0159561050916852,0.9902504201605302
110,0.05,996.0,RQ,1.0,-,1.0,-,0.0211588143094268,0.9857191346609846
111,0.05,996.0,ESS,1.0,-,-,1.0,0.9999999832205704,-19.92649166102016
112,0.05,272.0,RBF,1.0,-,-,-,0.0220334401150718,0.976739057183163
113,0.05,272.0,Matern,1.0,1.5,-,-,0.0189897974261858,0.9838090288263912
114,0.05,272.0,RQ,1.0,-,1.0,-,0.0262290492227352,0.9738722386236356
115,0.05,272.0,ESS,1.0,-,-,1.0,0.9937171761827776,-18.31869015376471
116,0.05,759.0,RBF,1.0,-,-,-,1.0,-18.226820532304224
117,0.05,759.0,Matern,1.0,1.5,-,-,0.0204644964637705,0.98234763942654
118,0.05,759.0,RQ,1.0,-,1.0,-,0.0296734103378649,0.96871005895242
119,0.05,759.0,ESS,1.0,-,-,1.0,0.98131386196277,-17.707731382692263
120,0.05,390.0,RBF,1.0,-,-,-,0.0281726859692012,0.973112557055874
121,0.05,390.0,Matern,1.0,1.5,-,-,0.0184928258992271,0.987054740757082
122,0.05,390.0,RQ,1.0,-,1.0,-,0.0274437170116054,0.9819493899332332
123,0.05,390.0,ESS,1.0,-,-,1.0,1.0,-14.700115758295308
124,0.05,930.0,RBF,1.0,-,-,-,0.0229984607280159,0.9880547146655466
125,0.05,930.0,Matern,1.0,1.5,-,-,0.0159854696565208,0.9943080511155586
126,0.05,930.0,RQ,1.0,-,1.0,-,0.0271424458446982,0.9851383773168324
127,0.05,930.0,ESS,1.0,-,-,1.0,1.0,-16.572294412463478
128,0.05,633.0,RBF,1.0,-,-,-,1.0,-18.946201770101577
129,0.05,633.0,Matern,1.0,1.5,-,-,0.0174580894592282,0.9863321732379116
130,0.05,633.0,RQ,1.0,-,1.0,-,0.0220106749609632,0.983156575918324
131,0.05,633.0,ESS,1.0,-,-,1.0,1.0,-18.946201770101577
132,0.05,928.0,RBF,1.0,-,-,-,0.0275684664045545,0.9788854967627164
133,0.05,928.0,Matern,1.0,1.5,-,-,0.0191168001767426,0.9890204080258594
134,0.05,928.0,RQ,1.0,-,1.0,-,0.026191753154017,0.9826371353458088
135,0.05,928.0,ESS,1.0,-,-,1.0,0.0275684262275582,0.9788855701791704
136,0.05,854.0,RBF,1.0,-,-,-,0.02238353352846,0.9834137515188623
137,0.05,854.0,Matern,1.0,1.5,-,-,0.0159085648533963,0.9925115135365384
138,0.05,854.0,RQ,1.0,-,1.0,-,0.0228882361748023,0.9872102432001112
139,0.05,854.0,ESS,1.0,-,-,1.0,0.0223834887857482,0.9834138211683237
140,0.05,554.0,RBF,1.0,-,-,-,0.0246678645786924,0.9781899169369144
141,0.05,554.0,Matern,1.0,1.5,-,-,0.0184260395469679,0.9903085084655756
142,0.05,554.0,RQ,1.0,-,1.0,-,0.0221035406534623,0.9887879788996238
143,0.05,554.0,ESS,1.0,-,-,1.0,0.024667860659717,0.978189923774618
144,0.05,562.0,RBF,1.0,-,-,-,1.0,-22.19779247494926
145,0.05,562.0,Matern,1.0,1.5,-,-,0.0166117924443528,0.9896540568602183
146,0.05,562.0,RQ,1.0,-,1.0,-,0.0247892971299591,0.9808758729643144
147,0.05,562.0,ESS,1.0,-,-,1.0,0.0240715640675132,0.9783528060441706
148,0.05,78.0,RBF,1.0,-,-,-,1.0,-17.1647029533829
149,0.05,78.0,Matern,1.0,1.5,-,-,0.0154381562962048,0.9931219262969426
150,0.05,78.0,RQ,1.0,-,1.0,-,0.0203339292325495,0.9887530768309958
151,0.05,78.0,ESS,1.0,-,-,1.0,1.0,-17.1647029533829
152,0.05,222.0,RBF,1.0,-,-,-,1.0,-16.29506626565358
153,0.05,222.0,Matern,1.0,1.5,-,-,0.0198704249283171,0.9879382518707844
154,0.05,222.0,RQ,1.0,-,1.0,-,0.0231173531620091,0.9849120017353274
155,0.05,222.0,ESS,1.0,-,-,1.0,0.0298792753836128,0.9739974872710364
156,0.05,294.0,RBF,1.0,-,-,-,0.0266999256610402,0.9754431866389838
157,0.05,294.0,Matern,1.0,1.5,-,-,0.0178893891114321,0.99160404435474
158,0.05,294.0,RQ,1.0,-,1.0,-,0.0235359934330645,0.9858549596208211
159,0.05,294.0,ESS,1.0,-,-,1.0,0.0266969757518122,0.9754500830499674
160,0.05,725.0,RBF,1.0,-,-,-,0.0203679942497337,0.9914609441542446
161,0.05,725.0,Matern,1.0,1.5,-,-,0.0169746599139198,0.9939091196930564
162,0.05,725.0,RQ,1.0,-,1.0,-,0.0251591986969213,0.9870087043435832
163,0.05,725.0,ESS,1.0,-,-,1.0,0.995422689294088,-15.196263614626258
164,0.05,582.0,RBF,1.0,-,-,-,0.0285632240448264,0.9754489577219162
165,0.05,582.0,Matern,1.0,1.5,-,-,0.0189815229667815,0.9876902336260808
