,ratio,rndint,mape,r2
0,0.95,721.0,0.0077086255428961,0.998327935422492
1,0.85,111.0,0.0078141392159451,0.9976519739574188
2,0.85,928.0,0.0078208533039269,0.9981983545944708
3,0.95,111.0,0.007850746928533,0.9980088840435956
4,0.85,530.0,0.007858788430375,0.9980929031221192
5,0.85,490.0,0.0079376458350305,0.9974136923198498
6,0.85,999.0,0.0079570099495026,0.997402192324976
7,0.9,510.0,0.0079588202539371,0.9980215830689526
8,0.85,791.0,0.0080743246970741,0.9975429377981702
9,0.95,951.0,0.0080886043111641,0.9979128868953592
10,0.85,272.0,0.0080986145232065,0.9978580927175694
11,0.85,816.0,0.0081009781150759,0.9979523035214118
12,0.85,721.0,0.0081122431445787,0.9973579798130838
13,0.85,390.0,0.0081671805093498,0.9980061614105478
14,0.9,222.0,0.0082128112530643,0.9980346789946428
15,0.85,561.0,0.0082474094565832,0.997161157697554
16,0.95,582.0,0.0082680688215712,0.9982110343717338
17,0.9,490.0,0.0083933582992551,0.9967759539331796
18,0.9,791.0,0.0084035732076645,0.9969959901837804
19,0.9,633.0,0.0084693753915724,0.9973646251425736
20,0.95,593.0,0.0092734677182466,0.9984735328487632
21,0.95,721.0,0.0077086255428961,0.998327935422492
22,0.9,936.0,0.0086102847166871,0.9982407095554556
23,0.95,582.0,0.0082680688215712,0.9982110343717338
24,0.85,928.0,0.0078208533039269,0.9981983545944708
25,0.85,530.0,0.007858788430375,0.9980929031221192
26,0.85,951.0,0.0084913870283036,0.9980822634031488
27,0.9,222.0,0.0082128112530643,0.9980346789946428
28,0.9,510.0,0.0079588202539371,0.9980215830689526
29,0.95,111.0,0.007850746928533,0.9980088840435956
30,0.85,936.0,0.009040591224485,0.9980077216402332
31,0.85,390.0,0.0081671805093498,0.9980061614105478
32,0.95,249.0,0.0090157183672238,0.9979576306152046
33,0.85,816.0,0.0081009781150759,0.9979523035214118
34,0.9,249.0,0.0088430720292577,0.997933165289541
35,0.95,669.0,0.0087421642174981,0.9979308932634662
36,0.85,996.0,0.0086657404361242,0.9979186940358056
37,0.95,951.0,0.0080886043111641,0.9979128868953592
38,0.85,272.0,0.0080986145232065,0.9978580927175694
39,0.9,986.0,0.0092319274380109,0.9977668202123996
