,ratio,rndint,mape,r2
0,0.05,669.0,0.0079980008498801,0.9981417269525704
1,0.05,936.0,0.008610686160602,0.9979640229000948
2,0.05,930.0,0.0086403767427469,0.9977233566100788
3,0.05,390.0,0.0088703293964533,0.9971758281896383
4,0.05,721.0,0.0089167878822465,0.9978612383268888
5,0.05,669.0,0.0090803245905449,0.9973615974229092
6,0.05,951.0,0.0092228178042362,0.9974438860042864
7,0.05,582.0,0.0092549193592055,0.9980047760738168
8,0.05,222.0,0.0093049165964388,0.9969571965923424
9,0.05,951.0,0.0093682900609903,0.9976199284489464
10,0.05,721.0,0.0094722844912918,0.997801120222539
11,0.05,111.0,0.0094928147284611,0.9974829142004816
12,0.1,111.0,0.0095233266333635,0.997277091797358
13,0.05,249.0,0.0095313790879703,0.9976223449874188
14,0.1,721.0,0.0095569995126325,0.997453051626255
15,0.1,48.0,0.0097438756678091,0.9960491380660812
16,0.1,721.0,0.009854640541614,0.9965595638597604
17,0.2,669.0,0.0098935517894809,0.996249232008938
18,0.05,930.0,0.0099138854238302,0.9971529537342776
19,0.05,510.0,0.0100047839619695,0.996628129195656
20,0.05,669.0,0.0079980008498801,0.9981417269525704
21,0.05,582.0,0.0092549193592055,0.9980047760738168
22,0.05,936.0,0.008610686160602,0.9979640229000948
23,0.05,721.0,0.0089167878822465,0.9978612383268888
24,0.05,721.0,0.0094722844912918,0.997801120222539
25,0.05,930.0,0.0086403767427469,0.9977233566100788
26,0.1,936.0,0.0101842493374061,0.9976350846834904
27,0.05,249.0,0.0103528279145344,0.9976308388238018
28,0.05,249.0,0.0095313790879703,0.9976223449874188
29,0.05,951.0,0.0093682900609903,0.9976199284489464
30,0.05,111.0,0.0094928147284611,0.9974829142004816
31,0.1,249.0,0.0105618967624254,0.997468746752592
32,0.1,721.0,0.0095569995126325,0.997453051626255
33,0.05,951.0,0.0092228178042362,0.9974438860042864
34,0.05,582.0,0.0109035817785416,0.9974157178514136
35,0.05,669.0,0.0101351066980818,0.9974029864463924
36,0.05,554.0,0.0107353314813405,0.9973864792014988
37,0.05,669.0,0.0090803245905449,0.9973615974229092
38,0.05,111.0,0.0100475741743496,0.9973348805187396
39,0.05,593.0,0.01330132829486,0.9973270111753152
