,ratio,rndint,degree,mape,r2
0,0.05,678.0,1.0,0.15659778687295883,0.5556355083117497
1,0.05,678.0,2.0,0.06960082693935575,0.9172155740863572
2,0.05,678.0,3.0,0.037644739208328316,0.9724756216770402
3,0.05,678.0,4.0,0.025580055915200385,0.9873534628484748
4,0.05,678.0,5.0,0.012630271452381448,0.9968922026088567
5,0.05,678.0,6.0,0.014832795285968306,0.9933031577107585
6,0.05,678.0,7.0,0.009824740861381062,0.9964191130725706
7,0.05,678.0,8.0,0.021096587427563738,0.9898822705908531
8,0.05,678.0,9.0,0.020463699523633385,0.9850385046232205
9,0.05,678.0,10.0,0.01655231262887849,0.9887390440825076
10,0.05,147.0,1.0,0.16290656803359124,0.49405195578111416
11,0.05,147.0,2.0,0.060326545181983264,0.9247384195036619
12,0.05,147.0,3.0,0.03203876338774453,0.9791112682846149
13,0.05,147.0,4.0,0.023890117820387344,0.9887367027043596
14,0.05,147.0,5.0,0.012687547919417034,0.9958175997047692
15,0.05,147.0,6.0,0.010144895673514493,0.9974765117630466
16,0.05,147.0,7.0,0.00815844838067605,0.9980799999660668
17,0.05,147.0,8.0,0.007854835459912278,0.9985435098451579
18,0.05,147.0,9.0,0.00875436777684239,0.9972087423487915
19,0.05,147.0,10.0,0.017414918692346543,0.9823904270712431
20,0.05,561.0,1.0,0.18146174117963926,0.5204790771594978
21,0.05,561.0,2.0,0.07397800555608049,0.901434913553428
22,0.05,561.0,3.0,0.03941520090913541,0.9639323222999769
23,0.05,561.0,4.0,0.051138116538921995,0.943414090143323
24,0.05,561.0,5.0,0.015872118310779497,0.9932152260114544
25,0.05,561.0,6.0,0.01206306686773334,0.9963198698386662
26,0.05,561.0,7.0,0.01006712688417001,0.9970754815443673
27,0.05,561.0,8.0,0.021541882604029925,0.9870111497286119
28,0.05,561.0,9.0,0.011294155942798508,0.9958835828518218
29,0.05,561.0,10.0,0.02064291266718234,0.9847351987974959
30,0.05,237.0,1.0,0.1544970146421989,0.5067830518592096
31,0.05,237.0,2.0,0.06780404353281339,0.8870589165866084
32,0.05,237.0,3.0,0.038373597756486674,0.9715074651943866
