,ratio,rndint,mape,r2
0,0.05,996.0,0.0097796599819502,0.99656566000533
1,0.05,996.0,0.0098228885635488,0.9964455856308564
2,0.05,996.0,0.0098795045531639,0.9964240812649036
3,0.05,996.0,0.0098917242843048,0.9964197540227334
4,0.05,996.0,0.0099016249473507,0.996427790848684
5,0.05,562.0,0.0103241798054153,0.9945870880213112
6,0.05,562.0,0.0104957041298361,0.9944790764774464
7,0.05,562.0,0.0105178153067552,0.9944611431807934
8,0.05,562.0,0.010533985316557,0.9943149730371484
9,0.05,395.0,0.0105641881171252,0.995409413889696
10,0.05,395.0,0.0106040531332138,0.9953356407225524
11,0.05,562.0,0.010619988353268,0.9942264379063516
12,0.05,562.0,0.0106425270793911,0.99427466381065
13,0.05,996.0,0.0106998583490524,0.9952421156125474
14,0.05,395.0,0.0107074892211311,0.9952559815459702
15,0.05,395.0,0.0107799116817152,0.9951362049539224
16,0.05,633.0,0.0108032749191946,0.9967103650013124
17,0.05,633.0,0.0108057152317155,0.9967026344335076
18,0.05,633.0,0.0108232254615646,0.9966747139901506
19,0.05,530.0,0.0108707155382914,0.997370563817952
20,0.05,530.0,0.0108707155382914,0.997370563817952
21,0.05,530.0,0.0111314053664077,0.99724768363662
22,0.05,530.0,0.0110572829882679,0.997221061066032
23,0.05,530.0,0.0110981295190672,0.9971840107710604
24,0.05,530.0,0.0111298424924653,0.9971644745871224
25,0.05,816.0,0.0116556470074326,0.9968255636491292
26,0.05,816.0,0.0116628226350519,0.9968213929463536
27,0.05,816.0,0.011765964123206,0.9968080512735088
28,0.05,816.0,0.01165740445452,0.996802352927366
29,0.1,816.0,0.0121034209323333,0.996715309259311
30,0.05,633.0,0.0108032749191946,0.9967103650013124
31,0.05,530.0,0.0117969563320696,0.9967077249101872
32,0.05,633.0,0.0108057152317155,0.9967026344335076
33,0.05,633.0,0.0108232254615646,0.9966747139901506
34,0.05,816.0,0.0117449422436436,0.996663155241321
35,0.1,816.0,0.0123675163226331,0.9966553983192048
36,0.05,633.0,0.010888954442596,0.9966516412119054
37,0.1,816.0,0.0122529272662392,0.996631167728778
38,0.1,816.0,0.01232929136189,0.9966105774971106
39,0.05,633.0,0.0109642177514661,0.9965926376278236
