,#,substance,SigC800,SigBr730,EpsC800,EpsBr730,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,prediction_1-bromobutane,prediction_2-bromobutane,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23
0,maxR2-0,both,0.24454034341077263,0.5038895914880019,0.5068330136426908,2.4419249921696835,0.13485717295030925,10.291928945669447,331.2251564343073,80.27101378275493,1277.5205078125,1388.02392578125,1.9897227533460844,0.05807839388145196,-2.568833652007646,0.0,-1.1706500956022934,-1.1324091778202676,-3.6218929254302092,2.037523900573615,-2.579110898661567,0.0,0.7533460803059242,-1.0062141491395813
1,maxR2-1,both,0.24154528906732123,0.5042762935319289,0.500402503091731,2.431679934279573,0.2581522071935292,10.574606348703815,332.7002375727427,80.40487121840064,1279.093505859375,1391.5814208984375,2.0886711281070753,0.035372848948373836,-2.5571223709368986,0.0,-1.1818833652007632,-1.1618068833651982,-3.611854684512427,2.0231835564053546,-2.5740917782026793,0.0,0.7043499043977062,-1.065965583173998
2,maxR2-2,both,0.26839493975532425,0.4962710388559038,0.5171317617176521,2.4456027839944436,0.059871670593944624,11.115624689610648,332.5887775305437,77.1847662156084,1276.5638427734375,1398.39013671875,1.9529158699808844,0.06787762906310235,-2.459130019120456,0.0,-1.2213193116634764,-1.195745697896746,-3.502629063097508,1.9574569789675014,-2.458413001912039,0.0,0.744263862332697,-0.9445506692160607
3,maxR2-3,both,0.28139357438022944,0.5037365078493536,0.49547239847735297,2.437345089089928,0.33343432184707994,9.80751786290723,340.1192982897526,80.32014897760993,1280.053955078125,1381.9276123046875,1.987332695984703,0.07552581261950346,-2.581978967495219,0.0,-1.2289674952198844,-1.2251434034416837,-3.6300191204588947,1.9404875717017207,-2.591300191204592,0.0,0.7069789674952195,-1.0609464627151035
4,maxR2-4,both,0.26288373429744927,0.5070790874860948,0.5101423576700779,2.4393654771306355,0.014511039029428949,9.321583932384783,337.015818948503,81.57573294717793,1275.6148681640625,1375.8121337890625,2.097036328871893,0.006692160611859467,-2.6132887189292537,0.0,-1.1816443594646244,-1.197418738049711,-3.6618068833652,2.0016730401529634,-2.6211759082217934,0.0,0.7251434034416874,-1.069311663479921
5,maxR2-5,both,0.25052401506567834,0.5029746768259984,0.5076236066099428,2.4405799042652,0.46148472098389604,10.557874422675804,334.3126945949541,78.71479733403811,1281.6876220703125,1391.370849609375,2.106596558317398,0.07074569789674767,-2.574808795411089,0.0,-1.1919216061185456,-1.1909655831739971,-3.5944072657743753,2.0062141491395806,-2.5616634799235154,0.0,0.7729445506692182,-0.947179732313574
6,maxR2-6,both,0.1936291816270565,0.5092461997006387,0.4955522275459367,2.427032626035134,0.054456104135643946,9.865405477130512,345.148145308403,81.85341556175928,1276.4947509765625,1382.6561279296875,1.9639101338432152,0.11806883365200758,-2.696701720841297,0.0,-1.2100860420650066,-1.2452198852772418,-3.7545411089866163,1.9940248565965626,-2.70267686424474,0.0,0.6854684512428354,-1.1216539196940687
7,maxR2-7,both,0.25386621945690496,0.4987420554974618,0.5024649827521409,2.4382252525177783,0.3443228635953947,10.077973685190702,329.2829873218476,77.7343739327957,1280.19287109375,1385.331298828125,2.0076481835564066,0.01959847036329399,-2.4717973231357515,0.0,-1.1589388145315462,-1.1735181644359456,-3.5346558317399586,1.9988049713193115,-2.5117112810707423,0.0,0.7746175908221762,-0.9223231357552603
8,maxR2-8,both,0.2582862019997312,0.5021736463765384,0.5089302867432772,2.4416433292275412,0.5354655687852755,10.026429653357171,335.4408465765073,81.48682401471653,1282.6314697265625,1384.6826171875,1.9708413001912068,0.021510516252390872,-2.5413479923518185,0.0,-1.1998087954110923,-1.2043499043977024,-3.573613766730401,2.0054971319311643,-2.56333652007648,0.0,0.765535372848949,-1.0205544933078419
9,maxR2-9,both,0.24382423809070675,0.5023963454241951,0.5107647463003575,2.4445569142389156,0.16461408405510625,9.97114154996027,331.56092593117614,80.24038382510922,1277.900146484375,1383.98681640625,2.0253346080305903,0.09918738049713002,-2.5293977055449326,0.0,-1.1730401529636747,-1.1837954110898667,-3.5592734225621405,2.0155353728489467,-2.536089866156792,0.0,0.764101338432123,-0.9930688336520079
10,maxR2-10,both,0.24630520181011062,0.504922156870766,0.5094421879381463,2.4425425660708187,0.11335756547362796,10.205388514352403,338.7092301780722,79.96749077779613,1277.2462158203125,1386.934814453125,1.99187380497132,0.08580305927341789,-2.61400573613767,0.0,-1.211042065009562,-1.2117590822179716,-3.650812619502869,2.0384799235181634,-2.5860420650095586,0.0,0.7430688336520097,-1.0109942638623302
11,maxR2-11,both,0.2589343500447401,0.5106553244645652,0.5083659714444626,2.4453254597485348,0.13999526338866167,10.118508594681169,338.73619771694223,84.11752568840973,1277.5860595703125,1385.8414306640625,2.043738049713197,0.06381453154875619,-2.658221797323132,0.0,-1.1871414913957898,-1.1725621414913903,-3.735181644359461,2.055927342256215,-2.6988527724665397,0.0,0.6386233269598464,-1.1460325047801116
12,maxR2-12,both,0.25557528099801896,0.5031283033359707,0.5111584102571535,2.4417840309034844,0.1951364462494157,10.155600122293405,336.10164696346965,80.79298920152839,1278.28955078125,1386.3082275390625,2.004541108986616,0.03752390057360953,-2.5917782026768625,0.0,-1.2084130019120487,-1.1823613766730408,-3.612810707456982,2.012906309751433,-2.5807839388145317,0.0,0.741156787762906,-1.0325047801147278
13,maxR2-13,both,0.24939296017581927,0.5085190109997173,0.49592686029263333,2.434926164631936,0.00045544339825635095,9.974837123187326,334.5379201851554,81.4554605084071,1275.794189453125,1384.0333251953125,2.048279158699807,0.08006692160611366,-2.6465105162523916,0.0,-1.156070745697901,-1.1644359464627185,-3.6661089866156784,1.9899617590822163,-2.640535372848949,0.0,0.6947896749522013,-1.101577437858504
14,maxR2-14,both,0.2536103048844643,0.5015911483475213,0.5130635953020919,2.4407648112314866,0.492361104307105,10.70044013210171,329.30642984401504,77.97272157479115,1282.08154296875,1393.1650390625,2.0494741873804943,0.002629063097513308,-2.5081261950286806,0.0,-1.1618068833651982,-1.1417304015296335,-3.574808795411088,2.022944550669216,-2.5566443594646278,0.0,0.7244263862332709,-0.9858986615678776
15,maxR2-15,both,0.2591790052824625,0.5041516084920056,0.5037298893283699,2.435826750043547,0.38693935300400106,10.483555572109655,329.3606802591894,82.01417515759974,1280.736572265625,1390.435546875,2.0666826003824137,0.0788718929254332,-2.535372848948376,0.0,-1.1517686424474158,-1.1517686424474158,-3.5831739961759057,2.025812619502868,-2.553537284894837,0.0,0.7311185468451237,-1.0726577437858507
16,maxR2-16,both,0.24361347838177702,0.5074760256034211,0.5115404619606402,2.446998483543755,0.18940513121669114,10.455251943037345,335.28460045351613,83.19626394757326,1278.2164306640625,1390.079345703125,2.040630975143406,0.013862332695989757,-2.619980879541106,0.0,-1.1823613766730408,-1.153202676864242,-3.6618068833652,1.9574569789674947,-2.6300191204588885,0.0,0.7136711281070789,-1.1204588910133815
17,maxR2-17,both,0.2476475000715813,0.5046629377205352,0.5151284537105748,2.4446455369137694,0.0659378704783309,9.898054557136472,334.7454734431369,81.71844278958514,1276.6412353515625,1383.0670166015625,2.0141013384321207,0.09942638623326884,-2.5905831739961753,0.0,-1.1553537284894844,-1.2072179732313546,-3.6321701720841304,2.0549713193116665,-2.599904397705548,0.0,0.7404397705544964,-1.0549713193116603
18,maxR2-18,both,0.24565076239610842,0.505910154305538,0.49587650522089444,2.438456221927191,0.15021403543365305,9.708047775129122,337.57853745495584,80.85783293289325,1277.7164306640625,1380.67578125,2.014818355640537,0.05473231357552902,-2.62260994263862,0.0,-1.1878585086042062,-1.1976577437858498,-3.6658699808795396,2.0174474187380502,-2.614244741873802,0.0,0.7048279158699838,-1.0760038240917738
