,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
21,1.947013638501326,0.6491855383392986,254.51471891274463,27.529276426848455,0.1060263925383941,0.3755150156447439,0.4993979043668262,2.4333380334428565,0.0871045067310671,1274.688720703125,13.1985118382499,1424.603271484375,1250.96,1.4,1266.67,1.4,1.2638623326959872,0.0250956022944594,-0.6563097514340298,0.0,-1.1534416826003808,-1.1529636711281033,-1.768881453154871,1.2700764818355692,-0.6524856596558293,0.0,1.2010038240917726,0.744263862332697,minMAPE-1
22,1.980717980874744,0.573698847834726,257.5329159755717,29.03187620539676,0.0415811209228587,0.3817736311311561,0.5235371828595594,2.4607202443303184,0.9702130832124976,1288.177978515625,7.136248898117799,1348.3096923828125,1250.53,1.0,1265.72,1.4,1.316682600382406,0.050430210325044,-0.7217973231357577,0.0,-1.1601338432122403,-1.1536806883365196,-1.849904397705547,1.3219407265774392,-0.7124760994263849,0.0,1.1794933078393883,0.6842734225621414,minMAPE-2
23,1.9705282959711454,0.4553039332538751,261.2745451261299,30.132350957677385,0.0400990218094715,0.384660771786446,0.4382078670875588,2.434667721831779,0.3603112232275862,1280.3968505859375,8.523417712678784,1365.7672119140625,1250.66,1.8,1264.23,0.52,1.32576481835564,0.0497131931166344,-0.7688814531548788,0.0,-1.1747131931166397,-1.172801147227536,-1.890057361376677,1.3487093690248566,-0.7746175908221831,0.0,1.1436424474187372,0.6171128107074554,minMAPE-3
37,2.151591158488795,0.5570123162495026,267.0816927761902,35.19347249964781,0.0400000358125049,0.3921873428643174,0.4410537968687788,2.3394866774073617,1.0659805826491258,1289.3997802734375,12.520563294596744,1416.0712890625,1248.35,0.61,1265.51,1.3,1.3843212237093694,-0.0045411089866169,-0.8699808795411125,0.0,-1.1935946462715104,-1.1823613766730408,-1.9959369024856597,1.3738049713193092,-0.8620936902485657,0.0,1.1990917782026758,0.5628585086042108,minMAPE-17
33,4.178554632387518,0.5824394119984051,321.80228762470443,74.88607209057943,0.2932376636415091,0.4919599309704882,0.4739925275745371,2.4344353617594936,0.0817827080312388,1276.8433837890625,8.456567605904846,1364.9259033203125,1222.49,1.3,1251.17,2.2,1.9373804971319368,0.0889101338432156,-2.280114722753344,0.0,-1.1527246653919645,-1.1747131931166328,-3.381453154875716,1.9457456978967544,-2.3348470363288665,0.0,0.730640535372846,-0.9065487571701736,minMAPE-13
27,4.133876783194859,0.7771156138259812,326.75232577856184,75.31623133232611,0.2443063626977333,0.4937265265894318,0.5097114303621018,2.4443540815039766,0.3036774107422829,1279.67431640625,9.183664363577671,1374.076416015625,1223.06,1.3,1248.72,1.5,1.927581261950286,0.0463671128107046,-2.3910133843212216,0.0,-1.1610898661567888,-1.188097514340345,-3.4342734225621414,1.9361854684512425,-2.437380497131933,0.0,0.7722275334608018,-0.8685468451242865,minMAPE-7
36,3.5883367298949658,0.25506555423123056,328.0216164354621,70.90370472716057,0.3269557271357055,0.4868838123011612,0.5115360959904809,2.4541490615982418,0.2716528507848053,1279.2657470703125,11.537841505884982,1403.7037353515625,1230.02,1.1,1255.29,1.6,1.896271510516252,0.0200764818355648,-2.181405353728485,0.0,-1.2590822179732315,-1.2437858508604225,-3.319550669216057,1.832456978967496,-2.1859464627151017,0.0,0.7973231357552544,-0.7363766730401571,minMAPE-16
7,4.5163818780373015,1.033770361541517,329.2829873218476,77.7343739327957,0.2538662194569049,0.4987420554974618,0.5024649827521409,2.4382252525177783,0.3443228635953947,1280.19287109375,10.077973685190702,1385.331298828125,1218.18,0.77,1245.49,2.2,2.0076481835564066,0.0195984703632939,-2.4717973231357515,0.0,-1.1589388145315462,-1.1735181644359456,-3.5346558317399586,1.9988049713193117,-2.5117112810707423,0.0,0.7746175908221762,-0.9223231357552604,maxR2-7
14,4.706066781627212,1.0639650377433534,329.30642984401504,77.97272157479115,0.2536103048844643,0.5015911483475213,0.5130635953020919,2.4407648112314866,0.492361104307105,1282.08154296875,10.70044013210171,1393.1650390625,1215.76,1.1,1245.11,0.53,2.0494741873804943,0.0026290630975133,-2.5081261950286806,0.0,-1.1618068833651982,-1.1417304015296337,-3.574808795411088,2.022944550669216,-2.556644359464628,0.0,0.7244263862332709,-0.9858986615678776,maxR2-14
15,4.7820975074463075,1.3047278506158182,329.3606802591894,82.01417515759974,0.2591790052824625,0.5041516084920056,0.5037298893283699,2.435826750043547,0.386939353004001,1280.736572265625,10.483555572109656,1390.435546875,1214.79,0.98,1242.08,0.8,2.0666826003824137,0.0788718929254332,-2.535372848948376,0.0,-1.1517686424474158,-1.1517686424474158,-3.5831739961759057,2.025812619502868,-2.553537284894837,0.0,0.7311185468451237,-1.0726577437858509,maxR2-15
