,#,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,SigC800,SigBr730,EpsC800,EpsBr730
25,minMAPE-5,None,0.4994358673520063,None,89.60793609644058,0.1508861150959024,0.5190316988009819,0.658273132185449,2.498669937630216
22,minMAPE-2,None,2.945798647323202,None,128.20171942654923,0.0839796427281017,0.0602560089931568,0.5333188147654068,2.4896452953040136
36,minMAPE-16,None,4.158868134187524,None,99.74367717303453,0.0445537171075445,0.4876880472807225,0.474947955434289,2.363427392117963
37,minMAPE-17,None,4.565322991160111,None,81.95297080782402,0.1845320232778039,0.5382241903117366,0.5357640915083872,2.464806519704536
23,minMAPE-3,None,5.016279921533571,None,79.826591560986,0.0621292833917591,0.5346260824102232,0.4704022416630063,2.454045528478366
24,minMAPE-4,None,7.2401420341676594,None,101.71648458537894,0.08775364080633,0.4745981236435109,0.5425587988469701,2.394474515360848
34,minMAPE-14,None,8.15295832091776,None,102.85055351702556,0.1413598623290647,0.4715318097876006,0.5081810147421175,2.438001779816138
35,minMAPE-15,None,8.349454180323798,None,103.64203912557088,0.1728798250180514,0.4791098796510327,0.5182323190546154,2.444068693962047
20,minMAPE-0,None,8.67429603694875,None,103.02775178759556,0.1110631919118252,0.4771649659524853,0.2074215311969319,2.0059467476205106
33,minMAPE-13,None,9.132062133740565,None,102.14176043474625,0.1568416398004533,0.4728281355395199,0.4685389408436064,2.432647949300466
31,minMAPE-11,None,9.29219394057906,None,98.57416858727407,0.1151396655417483,0.469049074736088,0.4986205066078778,2.391081792468857
28,minMAPE-8,None,10.116937248584623,None,81.36230990592446,0.3943539130786695,0.5156559702816276,0.7523223197789067,2.514140288243829
29,minMAPE-9,None,10.34243511310588,None,100.96043863094776,0.1722094427788848,0.4738850984153626,0.3936582115752577,2.4368758027494697
10,maxR2-10,None,10.636781215857171,None,102.4134644496199,0.1098233208604698,0.4768074941469878,0.5322729723050457,2.397521477683532
7,maxR2-7,None,10.706880711164084,None,100.41703060120004,0.1511176754647214,0.4756556667811006,0.608522853755702,2.4600115371607028
32,minMAPE-12,None,10.775893843737585,None,101.48022022461906,0.1370142972944046,0.4721813543040652,0.4597655192568543,2.420266936029737
30,minMAPE-10,None,10.88844878265296,None,102.20082652493645,0.1442713390966773,0.4721711177746328,0.4601651497900375,2.364313451058491
6,maxR2-6,None,10.897236681192888,None,101.24395586385916,0.1154909900833749,0.4730557813183476,0.4797507715879637,2.3907966691389646
8,maxR2-8,None,10.946423693881604,None,104.2208868094324,0.0472988617758524,0.4696960544717151,0.7658992626591005,2.4667675571101246
18,maxR2-18,None,11.030083324021652,None,102.23626617905023,0.1860839644379778,0.4794922479404354,0.6460939170505344,2.467109988116892
13,maxR2-13,None,11.05477867687227,None,101.0785708113272,0.1480552754552168,0.4715993744813,0.5746517453772387,2.381667563115065
3,maxR2-3,None,11.091074831768973,None,101.65741849518906,0.1391105633887591,0.470960371408647,0.4710703693627426,2.4147344592569637
19,maxR2-19,None,11.100590205353596,None,102.30714548727818,0.0817584185992653,0.4722694070859239,0.4875924579911647,2.378532498931679
5,maxR2-5,None,11.3385812413091,None,104.75248162114208,0.1310025523849148,0.4705184147644327,0.4519037905288434,2.4232543874107253
0,maxR2-0,None,11.52689058154549,None,102.94505926132958,0.1984274444628849,0.4700418378090978,0.5361724742123698,2.5678521086797805
17,maxR2-17,None,11.549684799612637,None,102.30714548727852,0.187337264718623,0.4739149746151538,0.5256374890227428,2.4525635474043384
9,maxR2-9,None,11.550683865340684,None,101.17307655563124,0.0616282862612208,0.4753293755944271,0.5397317000761771,2.4619821680595257
15,maxR2-15,None,11.654276311705402,None,102.30714548727818,0.1691240126137265,0.4723303104435312,0.5595899348860329,2.465238944145073
14,maxR2-14,None,11.65752570023838,None,101.551099532847,0.1004384871590784,0.4717873165342306,0.4986841958272301,2.445437036440804
27,minMAPE-7,None,11.690979852627136,None,101.87005641987284,0.2776330165794519,0.4712911733658663,0.3159108132731976,2.8851832140682667
11,maxR2-11,None,11.71318239099126,None,101.32664839012516,0.1817184178047352,0.478815997743124,0.5221663960205128,2.46518120703434
16,maxR2-16,None,11.777714277289432,None,102.03544147240449,0.1057588815777109,0.4734242312401734,0.3868132589841299,2.288572322413958
12,maxR2-12,None,11.796172744090187,None,100.405217383162,0.2040006572847172,0.4747789723532493,0.4710690097197257,2.690979876775735
1,maxR2-1,None,11.89320821538538,None,100.96043863094744,0.2502477060323942,0.4734201945094464,0.7674665125752892,2.525484637867714
38,minMAPE-18,None,12.04771421521156,None,100.676921398036,0.0786744833747904,0.4721249351078119,0.4734000212401026,2.454051294638397
39,minMAPE-19,None,12.219669916443186,None,100.91318575879558,0.1852228796549604,0.471030966611677,0.449710436168117,2.434283275551842
4,maxR2-4,None,12.317849948475368,None,100.58241565373169,0.309188813887782,0.4797204146927455,1.0422898873283624,2.5024533255128025
26,minMAPE-6,None,13.317187267207986,None,101.88186963791055,0.0944483630926938,0.4700218747320109,0.5653121049626915,2.544144103888349
2,maxR2-2,None,13.494574782106676,None,101.46840700658102,0.2449689581061896,0.4690071766682365,0.3452738132675343,3.4880190464138647
21,minMAPE-1,None,13.550638858884584,None,97.66455079834864,0.3386184014165176,0.4764026489264558,0.6454144510362123,2.608862819552344
