,Dens1SimMAPE,Dens2SimMAPE,RCE1MAPE,RCE2MAPE,SigC800,SigBr730,EpsC800,EpsBr730,Dens1PredMAPE,Dens1Pred,Dens2PredMAPE,Dens2Pred,Dens1Sim,Dens1SimErr,Dens2Sim,Dens2SimErr,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23,#
23,None,3.444576877234796,None,79.826591560986,0.0621292833917591,0.5346260824102232,0.4704022416630063,2.454045528478366,None,None,5.016279921533571,1321.6298828125,1174.34,1.6,1215.15,1.7,None,None,None,None,None,None,None,None,None,0.0,-0.2662523900573624,0.0,minMAPE-3
28,None,0.13508144616607434,None,81.36230990592446,0.3943539130786695,0.5156559702816276,0.7523223197789067,2.514140288243829,None,None,10.116937248584623,1385.8216552734375,1219.04,1.7,1256.8,1.3,None,None,None,None,None,None,None,None,None,0.0,-0.297323135755258,0.0,minMAPE-8
37,None,3.990464839094162,None,81.95297080782402,0.1845320232778039,0.5382241903117366,0.5357640915083872,2.464806519704536,None,None,4.565322991160111,1315.95458984375,1168.64,1.9,1208.28,0.87,None,None,None,None,None,None,None,None,None,0.0,-0.3092734225621441,0.0,minMAPE-17
25,None,2.137465236392538,None,89.60793609644058,0.1508861150959024,0.5190316988009819,0.658273132185449,2.498669937630216,None,None,0.4994358673520063,1264.785400390625,1195.97,0.91,1231.6,0.25,None,None,None,None,None,None,None,None,None,0.0,-0.4641491395793516,0.0,minMAPE-5
21,None,0.4187524831148178,None,97.66455079834864,0.3386184014165176,0.4764026489264558,0.6454144510362123,2.608862819552344,None,None,13.550638858884584,1429.0347900390625,1238.31,1.4,1263.77,1.5,None,None,None,None,None,None,None,None,None,0.0,-0.6271510516252379,0.0,minMAPE-1
31,None,0.385379419944371,None,98.57416858727407,0.1151396655417483,0.469049074736088,0.4986205066078778,2.391081792468857,None,None,9.29219394057906,1375.4422607421875,1232.56,1.7,1253.65,0.99,None,None,None,None,None,None,None,None,None,0.0,-0.6455544933078445,0.0,minMAPE-11
36,None,0.6595152959872829,None,99.74367717303453,0.0445537171075445,0.4876880472807225,0.474947955434289,2.363427392117963,None,None,4.158868134187524,1310.83935546875,1223.52,1.3,1250.2,0.82,None,None,None,None,None,None,None,None,None,0.0,-0.6692160611854644,0.0,minMAPE-16
12,None,0.42431466030988624,None,100.405217383162,0.2040006572847172,0.4747789723532493,0.4710690097197257,2.690979876775735,None,None,11.796172744090187,1406.954833984375,1228.8,1.1,1253.16,1.8,None,None,None,None,None,None,None,None,None,0.0,-0.6826003824091765,0.0,maxR2-12
7,None,0.495033770361543,None,100.41703060120004,0.1511176754647214,0.4756556667811006,0.608522853755702,2.4600115371607028,None,None,10.706880711164084,1393.24609375,1228.79,1.3,1252.27,0.96,None,None,None,None,None,None,None,None,None,0.0,-0.6828393881453153,0.0,maxR2-7
4,None,0.36551450139053704,None,100.58241565373169,0.309188813887782,0.4797204146927455,1.0422898873283624,2.5024533255128025,None,None,12.317849948475368,1413.5201416015625,1237.67,0.71,1263.1,0.83,None,None,None,None,None,None,None,None,None,0.0,-0.6861854684512383,0.0,maxR2-4
