,#,substance,SigC800,SigBr730,EpsC800,EpsBr730,MAPE_dens1,MAPE_dens2,MAPE_RCE1,MAPE_RCE2,prediction_1-bromobutane,prediction_2-bromobutane,RCE1,RCE2,RCE3,RCE4,RCE5,RCE6,RCE7,RCE8,RCE9,RCE21,RCE22,RCE23
0,maxR2-0,both,0.25234213306871955,0.5133659110710891,0.5087948166515901,2.4422944488754688,0.39762685949683374,9.31075883092969,338.0881164991268,84.77053014972333,1280.8729234734606,1375.6758998872501,2.0537762906309793,0.016730401529641874,-2.7215583173996176,0.0,-1.1436424474187372,-1.1706500956022934,-3.770315487571696,2.0979923518164485,-2.729206500956019,0.0,0.7244263862332642,-1.1448374760994313
1,maxR2-1,both,0.2514448385949873,0.5132264139157848,0.5136883885808241,2.4400397121810857,0.4556189951974381,9.643412988335022,337.74798368548653,85.18168325653555,1281.6127871407289,1379.8623524581963,2.069550669216066,0.07982791586998164,-2.719885277246653,0.0,-1.1625239005736079,-1.1598948374760947,-3.747131931166347,2.054493307839389,-2.719646271510514,0.0,0.6661089866156802,-1.2026768642447376
2,maxR2-2,both,0.2539008474064976,0.516515554745402,0.5117402551634438,2.4417730176546235,0.13859628740035443,9.001793832798116,344.967762063069,85.42393137255262,1277.5682114346537,1371.7875753857643,2.01362332695985,0.07122370936902529,-2.7846558317399572,0.0,-1.1876195028680674,-1.2072179732313546,-3.8243307839388088,2.1020554493307877,-2.796367112810705,0.0,0.6828393881453153,-1.2081739961759097
3,maxR2-3,both,0.2694220900585906,0.5116022511491221,0.49868996009626027,2.4374524712306496,0.16405200861431773,9.504215124478279,344.067886623071,82.90963335601438,1277.8929755259014,1378.1105473415591,2.0054971319311643,0.04110898661567807,-2.6876195028680696,0.0,-1.2237093690248577,-1.2136711281070753,-3.7543021032504775,2.07265774378585,-2.721319311663479,0.0,0.660372848948376,-1.1429254302103276
4,maxR2-4,both,0.2700705837320895,0.515933698932683,0.5298712177785226,2.3852218975071255,0.23227096241413042,9.082699963565465,343.44840025606453,85.04537406010101,1278.7633129384794,1372.8057790414714,2.021032504780119,0.083891013384321,-2.7277724665391925,0.0,-1.2010038240917726,-1.1857074569789636,-3.8183556405353727,2.0628585086042066,-2.7586042065009564,0.0,0.669694072657742,-1.2036328871892927
5,maxR2-5,both,0.248234485491032,0.5201012244265864,0.5113196019597704,2.4413472630163984,0.12910525108693244,8.657086475132383,350.78665538965134,86.77334451491606,1277.447124793367,1367.449433289541,2.099665391969406,0.0002390057361388085,-2.880736137667303,0.0,-1.253585086042066,-1.1773422562141462,-3.9175430210325026,2.0712237093690242,-2.860898661567877,0.0,0.7043499043977062,-1.2148661567877626
6,maxR2-6,both,0.25580049388615855,0.5142992216332464,0.5127885561457934,2.44323056525238,0.31072223132582644,9.522153685781387,339.79319763278886,83.44091666532503,1279.7641942272548,1378.3363041355587,2.1529636711281093,0.06883365200765079,-2.711998087954106,0.0,-1.1771032504780075,-1.169933078393877,-3.788240917782025,2.0838910133843265,-2.7521510516252357,0.0,0.6742351816443589,-1.171367112810703
7,maxR2-7,both,0.2589268208944963,0.5158023669630416,0.5195697994323395,2.4506615662118327,0.3715302008690543,9.405621849548073,339.7097313035773,85.42339703731643,1280.5399823026873,1376.8697509765625,2.03130975143404,0.07265774378585135,-2.772466539196939,0.0,-1.145554493307834,-1.1749521988527716,-3.7968451242829815,2.096797323135761,-2.752629063097513,0.0,0.6620458891013409,-1.2036328871892927
8,maxR2-8,both,0.2533005276943324,0.5157516401125797,0.510335550106473,2.441135774465278,0.2609531582781829,9.112575584548836,344.00394377301365,85.80500383060526,1279.129240393313,1373.181763731547,2.045172084130023,0.004063097514339366,-2.7798757170172084,0.0,-1.171367112810703,-1.1955066921606141,-3.8307839388145295,2.0370458891013374,-2.797801147227531,0.0,0.6692160611854712,-1.2208413001911986
9,maxR2-9,both,0.2958492529684595,0.5101402583192014,0.5077458571402238,2.439811330667015,0.34172032989105233,9.761003086261288,341.39282477553274,80.70548182324478,1280.15966796875,1381.3422238405983,2.132170172084128,0.033221797323138146,-2.6304971319311665,0.0,-1.2043499043977024,-1.2299235181644328,-3.7189292543021035,2.0105162523900586,-2.6455544933078365,0.0,0.6613288718929244,-1.0924952198852766
10,maxR2-10,both,0.2522462439399142,0.5160737032704792,0.5114765943974875,2.4423099830680317,0.24145281012711425,9.400502246581361,346.3612221488999,84.9296049709491,1278.8804549516017,1376.8053207732264,2.000956022944547,0.13718929254301718,-2.7884799235181648,0.0,-1.2208413001912055,-1.1998087954110923,-3.8236137667304058,2.077676864244738,-2.804732313575529,0.0,0.6761472275334626,-1.2043499043977024
