,Substance,Conformation,RCE
,1-bromobutane,conformer-01,0.5466061185468398
,1-bromobutane,conformer-02,0.11042065009559968
,1-bromobutane,conformer-03,-0.7825047801147229
,1-bromobutane,conformer-04,0.0
,1-bromobutane,conformer-05,-1.6128107074569835
,1-bromobutane,conformer-06,-1.6400573613766785
,1-bromobutane,conformer-07,-2.0415869980879546
,1-bromobutane,conformer-08,0.6543977055449329
,1-bromobutane,conformer-09,-0.7865678776290623
,2-bromobutane,conformer-01,0.0
,2-bromobutane,conformer-02,1.4036806883365178
,2-bromobutane,conformer-03,0.8499043977055408
